servicio,marca,cantidad
PARTICULAR,MACK,42
PARTICULAR,VOLVO,4
ALQUILER,Otras Marcas,19
PARTICULAR,DAIHATSU,42
ALQUILER,DAIHATSU,2
ALQUILER,MERCEDES BENZ,57
PARTICULAR,RENAULT,4
ESTADO,MITSUBISHI,1
ALQUILER,MITSUBISHI,11
PARTICULAR,NISSAN,50
PARTICULAR,ISUZU,26
ALQUILER,VOLKSWAGEN,2
PARTICULAR,FIAT,4
ALQUILER,HINO,149
PARTICULAR,JAC,2
ESTADO,HYUNDAI,2
ALQUILER,MACK,7
PARTICULAR,MAN,10
PARTICULAR,DONGFENG,5
ALQUILER,ISUZU,9
ESTADO,HINO,11
PARTICULAR,Otras Marcas,43
PARTICULAR,KIA,8
ALQUILER,FORD,43
MUNNICIPIO,Otras Marcas,7
PARTICULAR,HYUNDAI,25
ESTADO,INTERNATIONAL,30
MUNNICIPIO,INTERNATIONAL,7
PARTICULAR,KENWORTH,11
MUNNICIPIO,FORD,5
ALQUILER,HYUNDAI,10
MUNNICIPIO,FREIGHTLINER,1
ALQUILER,FREIGHTLINER,9
MUNNICIPIO,NISSAN,6
ALQUILER,NISSAN,14
PARTICULAR,FORD,349
MUNNICIPIO,MAN,2
PARTICULAR,MERCEDES BENZ,129
PARTICULAR,ASIA,1
MUNNICIPIO,VOLKSWAGEN,4
PARTICULAR,TOYOTA,16
ESTADO,CHEVROLET,12
ESTADO,FORD,5
ALQUILER,SCANIA,3
MUNNICIPIO,CHEVROLET,11
PARTICULAR,FREIGHTLINER,13
ALQUILER,INTERNATIONAL,19
PARTICULAR,VOLKSWAGEN,13
ALQUILER,CHEVROLET,42
PARTICULAR,QMC,3
PARTICULAR,INTERNATIONAL,57
PARTICULAR,SCANIA,25
ESTADO,MERCEDES BENZ,8
ESTADO,ISUZU,7
SECTORES SECCIONALES,MITSUBISHI,2
MUNNICIPIO,HINO,8
PARTICULAR,DODGE,8
ESTADO,MACK,1
PARTICULAR,CHEVROLET,104
ALQUILER,KIA,3
PARTICULAR,MITSUBISHI,40
OTROS,Otras Marcas,1
PARTICULAR,GMC,12
OTROS,INTERNATIONAL,1
ALQUILER,KENWORTH,11
SECTORES SECCIONALES,HINO,1
PARTICULAR,FOTON,1
ALQUILER,TOYOTA,3
ALQUILER,DONGFENG,1
ESTADO,FREIGHTLINER,1
ESTADO,JAC,1
MUNNICIPIO,TOYOTA,2
PARTICULAR,HINO,312
MUNNICIPIO,MERCEDES BENZ,1
ESTADO,VOLVO,4
ESTADO,NISSAN,5
OTROS,CHEVROLET,1
ALQUILER,MAN,4
