modelo,clase,cantidad
2007,Furgoneta C,1161
2008,Camioneta,18084
2003 Y ANTERIORES,Camioneta,160823
2008,Jeep,12058
2005,Tanquero,73
2009,Jeep,8736
2004,Camioneta,9316
2007,Otra Clase,178
2006,Volqueta,212
2009,Trailer,330
2009,Furgoneta P,1942
2008,Otra Clase,247
2004,Camión,2249
2007,Automóvil,28863
2006,Motocicleta,15099
2005,Furgoneta C,1235
2004,Trailer,87
2004,Volqueta,135
2005,Motocicleta,7034
2008,Automóvil,31011
2009,Furgoneta C,832
2006,Autobus,435
2004,Motocicleta,5055
2008,Furgoneta C,1142
2005,Jeep,6789
2008,Motocicleta,26175
2007,Tanquero,109
2008,Tanquero,132
2009,Camión,2796
2006,Otra Clase,125
2009,Autobus,401
2003 Y ANTERIORES,Motocicleta,9382
2007,Trailer,245
2003 Y ANTERIORES,Volqueta,5503
2008,Trailer,484
2005,Camión,2932
2006,Camión,3610
2008,Volqueta,653
2003 Y ANTERIORES,Autobus,4341
2003 Y ANTERIORES,Furgoneta C,10303
2007,Autobus,297
2006,Camioneta,12666
2008,Camión,5686
2007,Furgoneta P,4421
2009,Otra Clase,134
2007,Camioneta,14211
2004,Automóvil,18330
2005,Autobus,583
2007,Jeep,11086
2005,Camioneta,11351
2003 Y ANTERIORES,Automóvil,184168
2007,Camión,4529
2006,Furgoneta C,1090
2008,Furgoneta P,3052
2007,Motocicleta,21703
2005,Otra Clase,84
2003 Y ANTERIORES,Trailer,3218
2003 Y ANTERIORES,Furgoneta P,27266
2009,Automóvil,18674
2006,Tanquero,76
2005,Volqueta,170
2004,Autobus,1002
2003 Y ANTERIORES,Tanquero,1543
2006,Furgoneta P,3751
2009,Volqueta,641
2004,Otra Clase,108
2009,Motocicleta,1470
2004,Tanquero,61
2006,Trailer,190
2006,Automóvil,29613
2006,Jeep,8027
2005,Trailer,146
2003 Y ANTERIORES,Jeep,65352
2004,Furgoneta C,1362
2004,Furgoneta P,2351
2009,Camioneta,11073
2005,Automóvil,25622
2003 Y ANTERIORES,Camión,31265
2005,Furgoneta P,3489
2003 Y ANTERIORES,Otra Clase,2191
2008,Autobus,778
2007,Volqueta,354
2004,Jeep,5317
2009,Tanquero,90
